"","PMID","Title","Abstract"
"11","25646455","Behavioral training reverses global cortical network dysfunction induced by perinatal antidepressant exposure.","Abnormal cortical circuitry and function as well as distortions in the modulatory neurological processes controlling cortical plasticity have been argued to underlie the origin of autism. Here  we chemically distorted those processes using an antidepressant drug-exposure model to generate developmental neurological distortions like those characteristics expressed in autism  and then intensively trained altered young rodents to evaluate the potential for neuroplasticity-driven renormalization. We found that young rats that were injected s.c. with the antidepressant citalopram from postnatal d 1-10 displayed impaired neuronal repetition-rate following capacity in the primary auditory cortex (A1). With a focus on recovering grossly degraded auditory system processing in this model  we showed that targeted temporal processing deficits induced by early-life antidepressant exposure within the A1 were almost completely reversed through implementation of a simple behavioral training strategy (i.e.  a modified go/no-go repetition-rate discrimination task). Degraded parvalbumin inhibitory GABAergic neurons and the fast inhibitory actions that they control were also renormalized by training. Importantly  antidepressant-induced degradation of serotonergic and dopaminergic neuromodulatory systems regulating cortical neuroplasticity was sharply reversed. These findings bear important implications for neuroplasticity-based therapeutics in autistic patients."
"12","25533997","Inverse fluoxetine effects on inhibitory brain activation in non-comorbid boys with ADHD and with ASD.","RATIONALE: Attention deficit hyperactivity disorder (ADHD) and autism spectrum disorder (ASD) are often comorbid and have both performance and brain dysfunctions during motor response inhibition. Serotonin agonists modulate motor response inhibition and have shown positive behavioural effects in both disorders.AIMS: We therefore used functional magnetic resonance imaging (fMRI) to investigate the so far unknown shared and disorder-specific inhibitory brain dysfunctions in these two disorders  as well as the effects of a single dose of the selective serotonin reuptake inhibitor fluoxetine.METHODS: Age-matched boys with ADHD (18)  ASD (19) and healthy controls (25) were compared with fMRI during a stop task measuring motor inhibition. Patients were scanned twice  under either an acute dose of fluoxetine or placebo in a double-blind  placebo-controlled randomised design. Repeated measures analyses within patients assessed drug effects. To test for potential normalisation effects of brain dysfunctions  patients under each drug condition were compared to controls.RESULTS: Under placebo  relative to controls  ASD boys showed overactivation in left and right inferior frontal cortex (IFC)  while ADHD boys showed disorder-specific underactivation in orbitofrontal cortex (OFC) and basal ganglia. Under fluoxetine  the prefrontal dysfunctions were no longer observed  due to inverse effects of fluoxetine on these activations: fluoxetine downregulated IFC and OFC activation in ASD but upregulated them in ADHD.CONCLUSIONS: The findings show that fluoxetine normalises frontal lobe dysfunctions in both disorders via inverse effects  downregulating abnormally increased frontal activation in ASD and upregulating abnormally decreased frontal activation in ADHD  potentially reflecting inverse baseline serotonin levels in both disorders."
"13","25382136","Exposure to serotonin adversely affects oligodendrocyte development and myelination in vitro.","Serotonin (5-hydroxytryptamine  5-HT) has been implicated to play critical roles in early neural development. Recent reports have suggested that perinatal exposure to selective serotonin reuptake inhibitors (SSRIs) resulted in cortical network miswiring  abnormal social behavior  callosal myelin malformation  as well as oligodendrocyte (OL) pathology in rats. To gain further insight into the cellular and molecular mechanisms underlying SSRIs-induced OL and myelin abnormalities  we investigated the effect of 5-HT exposure on OL development  cell death  and myelination in cell culture models. First  we showed that 5-HT receptor 1A and 2A subtypes were expressed in OL lineages  using immunocytochemistry  Western blot  as well as intracellular Ca(2+) measurement. We then assessed the effect of serotonin exposure on the lineage development  expression of myelin proteins  cell death  and myelination  in purified OL and neuron-OL myelination cultures. For pure OL cultures  our results showed that 5-HT exposure led to disturbance of OL development  as indicated by aberrant process outgrowth and reduced myelin proteins expression. At higher doses  such exposure triggered a development-dependent cell death  as immature OLs exhibited increasing susceptibility to 5-HT treatment compared to OL progenitor cells (OPC). We showed further that 5-HT-induced immature OL death was mediated at least partially via 5-HT2A receptor  since cell death could be mimicked by 5-HT2A receptor agonist 1-(2 5-dimethoxy-4-iodophenyl)-2-aminopropane hydrochloride  (±)-2 5-dimethoxy-4-iodoamphetamine hydrochloride  but atten-uated by pre-treatment with 5-HT2A receptor antagonist ritanserin. Utilizing a neuron-OL myelination co-culture model  our data showed that 5-HT exposure significantly reduced the number of myelinated internodes. In contrast to cell injury observed in pure OL cultures  5-HT exposure did not lead to OL death or reduced OL density in neuron-OL co-cultures. However  abnormal patterns of contactin-associated protein (Caspr) clustering were observed at the sites of Node of Ranvier  suggesting that 5-HT exposure may affect other axon-derived factors for myelination. In summary  this is the first study to demonstrate that manipulation of serotonin levels affects OL development and myelination  which may contribute to altered neural connectivity noted in SSRIs-treated animals. The current in vitro study demonstrated that exposure to high level of serotonin (5-HT) led to aberrant oligodendrocyte (OL) development  cell injury  and myelination deficit. We propose that elevated extracellular serotonin levels in the fetal brain  such as upon the use of selective serotonin reuptake inhibitors (SSRIs) during pregnancy  may adversely affect OL development and/or myelination  thus contributing to altered neural connectivity seen in Autism Spectrum Disorders. OPC = oligodendrocyte progenitor cell."
"14","25292351","Disorder-dissociated effects of fluoxetine on brain function of working memory in attention deficit hyperactivity disorder and autism spectrum disorder.","BACKGROUND: Attention deficit hyperactivity disorder (ADHD) and autism spectrum disorder (ASD) are often co-morbid and share performance and brain dysfunctions during working memory (WM). Serotonin agonists modulate WM and there is evidence of positive behavioural effects in both disorders. We therefore used functional magnetic resonance imaging (fMRI) to investigate shared and disorder-specific brain dysfunctions of WM in these disorders  and the effects of a single dose of the selective serotonin reuptake inhibitor (SSRI) fluoxetine.METHOD: Age-matched boys with ADHD (n = 17)  ASD (n = 17) and controls (n = 22) were compared using fMRI during an N-back WM task. Patients were scanned twice  under either an acute dose of fluoxetine or placebo in a double-blind  placebo-controlled randomized design. Repeated-measures analyses within patients assessed drug effects on performance and brain function. To test for normalization effects of brain dysfunctions  patients under each drug condition were compared to controls.RESULTS: Under placebo  relative to controls  both ADHD and ASD boys shared underactivation in the right dorsolateral prefrontal cortex (DLPFC). Fluoxetine significantly normalized the DLPFC underactivation in ASD relative to controls whereas it increased posterior cingulate cortex (PCC) deactivation in ADHD relative to control boys. Within-patient analyses showed inverse effects of fluoxetine on PCC deactivation  which it enhanced in ADHD and decreased in ASD.CONCLUSIONS: The findings show that fluoxetine modulates brain activation during WM in a disorder-specific manner by normalizing task-positive DLPFC dysfunction in ASD boys and enhancing task-negative default mode network (DMN) deactivation in ADHD."
"15","25252317","Prenatal exposure to selective serotonin reuptake inhibitors and social responsiveness symptoms of autism: population-based study of young children.","BACKGROUND: Selective serotonin reuptake inhibitors (SSRIs) are considered safe and are frequently used during pregnancy. However  two case-control studies suggested an association between prenatal SSRI exposure with childhood autism.AIMS: To prospectively determine whether intra-uterine SSSRI exposure is associated with childhood autistic symptoms in a population-based study.METHOD: A total of 376 children prenatally exposed to maternal depressive symptoms (no SSRI exposure)  69 children prenatally exposed to SSRIs and 5531 unexposed children were included. Child pervasive developmental and affective problems were assessed by parental report with the Child Behavior Checklist at ages 1.5  3 and 6. At age 6  we assessed autistic traits using the Social Responsiveness Scale (n = 4264).RESULTS: Prenatal exposure to maternal depressive symptoms without SSRIs was related to both pervasive developmental (odds ratio (OR) = 1.44  95% CI 1.07-1.93) and affective problems (OR = 1.44  95% CI 1.15-1.81). Compared with unexposed children  those prenatally exposed to SSRIs also were at higher risk for developing pervasive developmental problems (OR = 1.91  95% CI 1.13-3.47)  but not for affective problems. Children prenatally exposed to SSRIs also had more autistic traits (B = 0.15  95% CI 0.08-0.22) compared with those exposed to depressive symptoms only.CONCLUSIONS: Our results suggest an association between prenatal SSRI exposure and autistic traits in children. Prenatal depressive symptoms without SSRI use were also associated with autistic traits  albeit this was weaker and less specific. Long-term drug safety trials are needed before evidence-based recommendations are possible."
"16","24678582","Reversal of reduced parvalbumin neurons in hippocampus and amygdala of Angelman syndrome model mice by chronic treatment of fluoxetine.","Angelman syndrome (AS) is a neuropsychiatric disorder characterized by autism  intellectual disability and motor disturbances. The disease is primarily caused by the loss of function of maternally inherited UBE3A. Ube3a maternal-deficient mice recapitulates many essential feature of AS. These AS mice have been shown to be under chronic stress and exhibits anxiety-like behaviour because of defective glucocorticoid receptor signalling. Here  we demonstrate that chronic stress in these mice could lead to down-regulation of parvalbumin-positive interneurons in the hippocampus and basolateral amygdala from early post-natal days. Down-regulation of parvalbumin-positive interneurons number could be because of decrease in the expression of parvalbumin in these neurons. We also find that treatment with fluoxetine  a selective serotonin reuptake inhibitor  results in restoration of impaired glucocorticoid signalling  elevated serum corticosterone level  parvalbumin-positive interneurons and anxiety-like behaviours. Our findings suggest that impaired glucocorticod signalling in hippocampus and amygdala of AS mice is critical for the decrease in parvalbumin interneurons number  emergence of anxiety and other behavioural deficits and highlights the importance of fluoxetine in the recovery of these abnormalities."
"17","24451919","Inverse Effect of Fluoxetine on Medial Prefrontal Cortex Activation During Reward Reversal in ADHD and Autism.","Attention deficit hyperactivity disorder (ADHD) and autism spectrum disorder (ASD) share brain function abnormalities during cognitive flexibility. Serotonin is involved in both disorders  and selective serotonin reuptake inhibitors (SSRIs) can modulate cognitive flexibility and improve behavior in both disorders. Thus  this study investigates shared and disorder-specific brain dysfunctions in these 2 disorders during reward reversal  and the acute effects of an SSRI on these. Age-matched boys with ADHD (15)  ASD (18)  and controls (21) were compared with functional magnetic resonance imaging (fMRI) during a reversal task. Patients were scanned twice  under either an acute dose of Fluoxetine or placebo in a double-blind  placebo-controlled randomized design. Repeated-measures analyses within patients assessed drug effects. Patients under each drug condition were compared with controls to assess normalization effects. fMRI data showed that  under placebo  ASD boys underactivated medial prefrontal cortex (mPFC)  compared with control and ADHD boys. Both patient groups shared decreased precuneus activation. Under Fluoxetine  mPFC activation was up-regulated and normalized in ASD boys relative to controls  but down-regulated in ADHD boys relative to placebo  which was concomitant with worse task performance in ADHD. Fluoxetine therefore has inverse effects on mPFC activation in ASD and ADHD during reversal learning  suggesting dissociated underlying serotonin abnormalities."
"18","24359174","Plasma oxytocin changes and anti-obsessive response during serotonin reuptake inhibitor treatment: a placebo controlled study.","BACKGROUND: The drug treatments of choice for obsessive-compulsive disorder (OCD) are serotonin reuptake inhibitors (SRIs). However  a correlation between the neuropeptide oxytocin in cerebrospinal fluid and the severity of OCD has previously been shown  and oxytocin and serotonin are interconnected within the brain. Few studies have investigated whether SRIs have any effect on oxytocin; thus  our aim was to explore the possibility that oxytocinergic mechanisms contribute to the anti-obsessive effect of SRIs.METHOD: In a randomized  double-blind trial  comparing SRIs (clomipramine and paroxetine) with placebo in 36 adults with OCD (characterized for subtypes)  plasma oxytocin was measured with radioimmunoassay after plasma extraction  at baseline  after 1 week  and after 4 weeks of treatment  and related to baseline severity and clinical response after 12 weeks  as measured by the Yale-Brown Obsessive Compulsive Scale (Y-BOCS).RESULTS: Baseline oxytocin levels correlated positively with baseline Y-BOCS ratings  but only among the future SRI responders. Patients with early onset of OCD had higher baseline oxytocin. During treatment  plasma oxytocin did not differ between SRI and placebo treatment. In SRI responders  plasma oxytocin first decreased and then increased; in non-responders (to SRI as well as to placebo)  the reverse was the case. After 4 weeks  treatment responders had attained higher oxytocin levels compared to non-responders. The intra-individual range (i.e.  the variability) of plasma oxytocin between measurements was the measure that best differentiated responders from non-responders. This range was higher in responders than non-responders  and lower in patients with autistic traits.CONCLUSIONS: SRIs have highly variable effects on plasma oxytocin between individuals. The associations between baseline oxytocin and OCD severity and between oxytocin changes and treatment response support the notions that oxytocin is involved in OCD pathophysiology  and that the anti-obsessive effects of SRIs are partly exerted through oxytocinergic mechanisms."
"19","24083985","Serotonin transporter and integrin beta 3 genes interact to modulate serotonin uptake in mouse brain.","Dysfunctions in serotonin (5-hydroxytryptamine  5-HT) systems have been associated with several psychiatric illnesses  including anxiety  depression  obsessive-compulsive disorders and autism spectrum disorders. Convergent evidence from genetic analyses of human subjects has implicated the integrin ß3 subunit gene (ITGB3) as a modulator of serotonergic systems via genetic interactions with the 5-HT transporter gene (SLC6A4  SERT). While genetic interactions may result from contributions of each gene at several levels  we hypothesize that ITGB3 modulates the 5-HT system at the level of the synapse  through the actions of integrin avß3. Here we utilized a genetic approach in mouse models to examine Itgb3 contributions to SERT function both in the context of normal and reduced SERT expression. As integrin avß3 is expressed in postsynaptic membranes  we isolated synaptoneurosomes  which maintain intact pre- and post-synaptic associations. Citalopram binding revealed significant Slc6a4-driven reductions in SERT expression in midbrain synapses  whereas no significant changes were observed in hippocampal or cortical projections. Expecting corresponding changes to SERT function  we also measured 5-HT uptake activity in synaptoneurosomal preparations. Itgb3 single heterozygous mice displayed significant reductions in 5-HT Vmax  with no changes in Km  in midbrain preparations. However  in the presence of both Itgb3 and Slc6a4 heterozygozity  5-HT uptake was similar to wild-type levels  revealing a significant Slc6a4 by Itgb3 genetic interaction in the midbrain. Similar findings were observed in cortical preparations  whereas in the hippocampus  most Vmax changes were driven solely by Slc6a4. Our findings provide evidence that integrin avß3 is involved in the regulation of serotonergic systems in some  but not all 5-HT synapses  revealing novel contributions to synaptic specificity within the central nervous system."
"20","23917518","The BOLD signal and neurovascular coupling in autism.","BOLD (blood oxygen level dependent) fMRI (functional magnetic resonance imaging) is commonly used to study differences in neuronal activity between human populations. As the BOLD response is an indirect measure of neuronal activity  meaningful interpretation of differences in BOLD responses between groups relies upon a stable relationship existing between neuronal activity and the BOLD response across these groups. However  this relationship can be altered by changes in neurovascular coupling or energy consumption  which would lead to problems in identifying differences in neuronal activity. In this review  we focus on fMRI studies of people with autism  and comparisons that are made of their BOLD responses with those of control groups. We examine neurophysiological differences in autism that may alter neurovascular coupling or energy use  discuss recent studies that have used fMRI to identify differences between participants with autism and control participants  and explore experimental approaches that could help attribute between-group differences in BOLD signals to either neuronal or neurovascular factors."
"21","23894004","Reduced serotonin receptor subtypes in a limbic and a neocortical region in autism.","Autism is a behaviorally defined  neurological disorder with symptom onset before the age of 3. Abnormalities in social-emotional behaviors are a core deficit in autism  and are characterized by impaired reciprocal-social interaction  lack of facial expressions  and the inability to recognize familiar faces. The posterior cingulate cortex (PCC) and fusiform gyrus (FG) are two regions within an extensive limbic-cortical network that contribute to social-emotional behaviors. Evidence indicates that changes in brains of individuals with autism begin prenatally. Serotonin (5-HT) is one of the earliest expressed neurotransmitters  and plays an important role in synaptogenesis  neurite outgrowth  and neuronal migration. Abnormalities in 5-HT systems have been implicated in several psychiatric disorders  including autism  as evidenced by immunology  imaging  genetics  pharmacotherapy  and neuropathology. Although information is known regarding peripheral 5-HT in autism  there is emerging evidence that 5-HT systems in the central nervous system  including various 5-HT receptor subtypes and transporters  are affected in autism. The present study demonstrated significant reductions in 5-HT1A receptor-binding density in superficial and deep layers of the PCC and FG  and in the density of 5-HT(2A) receptors in superficial layers of the PCC and FG. A significant reduction in the density of serotonin transporters (5-HTT) was also found in the deep layers of the FG  but normal levels were demonstrated in both layers of the PCC and superficial layers of the FG. This study provides potential substrates for decreased 5-HT modulation/innervation in the autism brain  and implicate two 5-HT receptor subtypes as potential neuromarkers for novel or existing pharmacotherapies."
"22","23781172","Genetic and pharmacological manipulations of the serotonergic system in early life: neurodevelopmental underpinnings of autism-related behavior.","Serotonin  in its function as neurotransmitter  is well-known for its role in depression  autism and other neuropsychiatric disorders  however  less known as a neurodevelopmental factor. The serotonergic system is one of the earliest to develop during embryogenesis and early changes in serotonin levels can have large consequences for the correct development of specific brain areas. The regulation and functioning of serotonin is influenced by genetic risk factors  such as the serotonin transporter polymorphism in humans. This polymorphism is associated with anxiety-related symptoms  changes in social behavior  and cortical gray and white matter changes also seen in patients suffering from autism spectrum disorders (ASD). The human polymorphism can be mimicked by the knockout of the serotonin transporter in rodents  which are as a model system therefore vital to explore the precise neurobiological mechanisms. Moreover  there are pharmacological challenges influencing serotonin in early life  like prenatal/neonatal exposure to selective serotonin reuptake inhibitors (SSRI) in depressed pregnant women. There is accumulating evidence that this dysregulation of serotonin during critical phases of brain development can lead to ASD-related symptoms in children  and reduced social behavior and increased anxiety in rodents. Furthermore  prenatal valproic acid (VPA) exposure  a mood stabilizing drug which is also thought to interfere with serotonin levels  has the potency to induce ASD-like symptoms and to affect the development of the serotonergic system. Here  we review and compare the neurodevelopmental and behavioral consequences of serotonin transporter gene variation  and prenatal SSRI and VPA exposure in the context of ASD."
"23","23675318","Neonatal citalopram exposure decreases serotonergic fiber density in the olfactory bulb of male but not female adult rats.","Manipulation of serotonin (5HT) during early development has been shown to induce long-lasting morphological changes within the raphe nuclear complex and serotonergic circuitry throughout the brain. Recent studies have demonstrated altered raphe-derived 5HT transporter (SERT) immunoreactive axonal expression in several cortical target sites after brief perinatal exposure to selective 5HT reuptake inhibitors such as citalopram (CTM). Since the serotonergic raphe nuclear complex projects to the olfactory bulb (OB) and perinatal 5HT disruption has been shown to disrupt olfactory behaviors  the goal of this study was to further investigate such developmental effects in the OB of CTM exposed animals. Male and female rat pups were exposed to CTM from postnatal day 8-21. After animals reach adulthood (&gt;90 days)  OB tissue sections were processed immunohistochemically for SERT antiserum. Our data revealed that the density of the SERT immunoreactive fibers decreased ~40% in the OB of CTM exposed male rats  but not female rats. Our findings support a broad and long-lasting change throughout most of the 5HT system  including the OB  after early manipulation of 5HT. Because dysfunction of the early 5HT system has been implicated in the etiology of neurodevelopmental disorders such as autism spectrum disorders (ASDs)  these new findings may offer insight into the abnormal olfactory perception often noted in patients with ASD."
