"","PMID","Title","Abstract"
"11","22641177","An affective disorder in zebrafish with mutation of the glucocorticoid receptor.","Upon binding of cortisol  the glucocorticoid receptor (GR) regulates the transcription of specific target genes  including those that encode the stress hormones corticotropin-releasing hormone (CRH) and adrenocorticotropic hormone. Dysregulation of the stress axis is a hallmark of major depression in human patients. However  it is still unclear how glucocorticoid signaling is linked to affective disorders. We identified an adult-viable zebrafish mutant in which the negative feedback on the stress response is disrupted  due to abolition of all transcriptional activity of GR. As a consequence  cortisol is elevated  but unable to signal through GR. When placed into an unfamiliar aquarium ('novel tank')  mutant fish become immobile ('freeze')  show reduced exploratory behavior and do not habituate to this stressor upon repeated exposure. Addition of the antidepressant fluoxetine to the holding water and social interactions restore normal behavior  followed by a delayed correction of cortisol levels. Fluoxetine does not affect the overall transcription of CRH  the mineralocorticoid receptor (MR)  the serotonin transporter (Serta) or GR itself. Fluoxetine  however  suppresses the stress-induced upregulation of MR and Serta in both wild-type fish and mutants. Our studies show a conserved  protective function of glucocorticoid signaling in the regulation of emotional behavior and reveal novel molecular aspects of how chronic stress impacts vertebrate brain physiology and behavior. Importantly  the zebrafish model opens up the possibility of high-throughput drug screens in search of new classes of antidepressants."
"12","22344744","Differential effects of diazepam, tandospirone, and paroxetine on plasma brain-derived neurotrophic factor level under mental stress.","OBJECTIVES: Serum brain-derived neurotrophic factor (BDNF) levels are reduced in depressed patients  and successful antidepressant treatment leads to increases in BDNF levels. However  little is known about how psychotropic drugs affect the mechanism of the human response to mental stress. We investigated the influence of psychotropic drugs on plasma BDNF levels under mental stress using a driving simulator (DS) task.METHODS: Fourteen healthy male volunteers received one of four drugs  diazepam (5<U+2009>mg)  tandospirone (20<U+2009>mg)  paroxetine (10<U+2009>mg)  and matched placebo  in a double-blind  crossover manner. Subjects were asked to perform the DS task 4<U+2009>h post-dosing. Plasma BDNF levels were measured before and after the DS task.RESULTS: Plasma BDNF levels under the placebo  diazepam  and tandospirone conditions significantly decreased after the DS task compared with before the task. Conversely  no significant differences in plasma BDNF levels were detected under the paroxetine condition.CONCLUSION: As these three psychotropic drugs have differential effects on plasma BDNF levels under mental stress after 4<U+2009>h post-dosing  antidepressants  unlike anxiolytics  might have a prompt positive effect on the mental stress response."
"13","21907645","Gas chromatography-tandem mass spectrometry assay for the quantification of four benzodiazepines and citalopram in eleven postmortem rabbit fluids and tissues, with application to animal and human samples.","Pharmacokinetic studies and postmortem toxicological investigations require a validated analytical technique to quantify drugs on a large number of matrices. Three-step liquid/liquid extraction with online derivatization (silylation) ahead of analysis by gas chromatography-tandem mass spectrometry was developed and validated on rabbit specimens in order to quantify citalopram and 4 benzodiazepines (diazepam  nordazepam  oxazepam and temazepam) in 11 biological matrices (blood  urine  bile  vitreous humor  liver  kidney  skeletal muscle  brain  adipose tissue  bone marrow (BM) and lung). Since the 11 biological matrices came from the same animal species  full validation was performed on 1 matrix  bone marrow (considered the most complex)  while the other 10 underwent partial validation. Due to non-negligible matrix effects  calibration curves were performed on each matrix. Within-day and between-day precision (less than 12.0% and 12.6%  respectively) and accuracy (from 88.9% to 106.4%) were acceptable on BM at both low and high concentrations. Assessment on the other matrices confirmed accuracy and within-day precision (less than 12%  and generally between 85.1% and 114.5%  respectively). The lower limit of quantification of the method was 1ng/g for nordazepam  5ng/g for citalopram and 10ng/g for oxazepam  diazepam and temazepam. The combination of 3-step extraction and MS/MS detection provided good selectivity in all matrices  including the most lipid-rich. Application to real-case samples showed that the method was sensitive enough to describe distribution patterns in an animal experiment  and specific enough to detect molecules in highly putrefied samples from human postmortem cases."
"14","21835188","Magnesium deficiency induces anxiety and HPA axis dysregulation: modulation by therapeutic drug treatment.","Preclinical and some clinical studies suggest a relationship between perturbation in magnesium (Mg(2+)) homeostasis and pathological anxiety  although the underlying mechanisms remain largely unknown. Since there is evidence that Mg(2+) modulates the hypothalamic-pituitary adrenal (HPA) axis  we tested whether enhanced anxiety-like behaviour can be reliably elicited by dietary Mg(2+) deficiency and whether Mg(2+) deficiency is associated with altered HPA axis function. Compared with controls  Mg(2+) deficient mice did indeed display enhanced anxiety-related behaviour in a battery of established anxiety tests. The enhanced anxiety-related behaviour of Mg(2+) deficient mice was sensitive to chronic desipramine treatment in the hyponeophagia test and to acute diazepam treatment in the open arm exposure test. Mg(2+) deficiency caused an increase in the transcription of the corticotropin releasing hormone in the paraventricular hypothalamic nucleus (PVN)  and elevated ACTH plasma levels  pointing to an enhanced set-point of the HPA axis. Chronic treatment with desipramine reversed the identified abnormalities of the stress axis. Functional mapping of neuronal activity using c-Fos revealed hyper-excitability in the PVN of anxious Mg(2+) deficient mice and its normalisation through diazepam treatment. Overall  the present findings demonstrate the robustness and validity of the Mg(2+) deficiency model as a mouse model of enhanced anxiety  showing sensitivity to treatment with anxiolytics and antidepressants. It is further suggested that dysregulations in the HPA axis may contribute to the hyper-emotionality in response to dietary induced hypomagnesaemia. This article is part of a Special Issue entitled 'Anxiety and Depression'."
"15","21820452","Susceptibility to the long-term anxiogenic effects of an acute stressor is mediated by the activation of the glucocorticoid receptors.","The specificity of the response of an organism is an important variable influencing stress-related parameters and psychopathological states. We have shown that trait anxiety in C57BL/6 mice  determined by their emergence latencies in the free choice open field test  positively correlates with the long-term behavioral and neuroendocrinological changes induced by a stressor. Here  we show that this interindividual variability is caused by a different reactivity of the hypothalamus-pituitary-adrenal (HPA) axis upon exposure to a stressor. Mice with high trait anxiety (long emergence latency  LEL) display a more pronounced stress-induced activation of the HPA axis than mice with low trait anxiety (short emergence latency  SEL). Moreover  stress-induced activation of tyrosine hydroxylase and corticotropin-releasing hormone occurred in LEL but not SEL mice. In search of the molecular mechanisms underlying these differences  we found that under non-stressed conditions mRNA and protein levels of the glucocorticoid receptor in the hippocampus were higher in LEL mice compared to SEL mice. Also  systemic injection of the glucocorticoid receptor antagonist RU486 decreased the stress-induced activation of the HPA axis and the long-term anxiogenic effects of stress observed in LEL mice. Finally  the rewarding properties of cocaine were enhanced in LEL mice compared to SEL mice  suggesting a causal link between trait anxiety  stress activity and the behavioral responses to drugs of addiction."
"16","21333660","Characterization of 5-HT(1A/1B)-/- mice: an animal model sensitive to anxiolytic treatments.","Selective serotonin (5-HT) re-uptake inhibitors (SSRIs) are commonly used in the treatment of generalized anxiety disorder in Humans. However  because only few animal models display overt anxious-like behavior  detailed preclinical studies of the anxiolytic properties of antidepressants are still lacking. Here  we studied the neurochemical and behavioral effects of a double 5-HT(1A/1B) receptor knockout in mice (5-HT(1A/1B)-/-) as compared to their wild-type littermates (5-HT(1A/1B)+/+). It is known that single deletion of either 5-HT(1A) or 5-HT(1B) receptor induces behavioral changes that are not correlated with differences in brain serotonergic tone. Deletion of both receptors resulted in (i) higher emotionality of animals  as observed in three unconditioned paradigms of anxiety (open field  elevated plus maze and novelty suppressed feeding tests); (ii) a ˜200% increase in the mean spontaneous firing rate of 5-HT neurons in the dorsal raphe nucleus (DRN) compared to 5-HT(1A/1B)+/+ mice; (iii) elevated basal dialysate levels of 5-HT in the DRN and frontal cortex; (iv) an exaggerated response to acute paroxetine administration in microdialysis experiments  and (v) increased basal core body temperature. These findings suggest that the deletion of both autoreceptors induces a strong anxious-like behavioral state associated with increased 5-HT neurotransmission. Interestingly  5-HT(1A/1B)-/- mice are still sensitive to the acute administration of diazepam. Moreover  while deletion of both receptors impacted on the response to acute SSRI treatment in the forced swim test  anxiolytic-like effects of a chronic SSRI treatment were still observed in 5-HT(1A/1B)-/- mice. Thus  the 5-HT(1A/1B)-/- mouse model could be of great interest to unveil the mechanisms of action of the anxiolytic effects of SSRIs."
"17","20678516","Pharmacological evaluation of a novel assay for detecting glycine transporter 1 inhibitors and their antipsychotic potential.","Multiple lines of evidence support the notion that hypofunction of glutamatergic neurotransmission is involved in the pathophysiology of schizophrenia. Moreover  glycine and glycine modulators have beneficial effects in patients with schizophrenia  particularly when added on to existing therapy. As glycine is an obligatory co-agonist at the NR1 subunit of the NMDA receptor  blockade of glycine uptake at the glycine transporter type-1 (GlyT1) can enhance low glutamatergic tone. L-687 414 is an antagonist at the glycine modulatory site of the NMDA complex and  behaviorally  increases locomotion. A series of GlyT1 inhibitors along with other psychoactive compounds were examined for their ability to enhance or inhibit the action of L-687 414. GlyT1 inhibitors and the other compounds were examined initially for effects on [(3)H]-glycine uptake in CHO cells expressing hGlyT1b cDNA and for their ability to displace the NMDA-glycine site ligand [(3)H]-L-689 560 from isolated rat forebrain membrane preparations. The in vivo activity of these compounds was determined in mice by measuring their ability to prevent L-687 414-induced hyperlocomotion. GlyT1 inhibitors blocked [(3)H]-glycine uptake in cells expressing the human transporter; other compounds had little or no activity. None of the compounds had affinity for the glycine site of the NMDA receptor complex. Hyperlocomotion induced by L-687 414 was dose-dependently reduced by GlyT1 inhibitors and antipsychotic drugs but not by morphine  fluoxetine or a moderate dose of diazepam. Therefore  this behavioral approach can reliably detect GlyT1 inhibitors which  in turn  may have some activity in common with drugs having antipsychotic effects."
"18","20160205","Psychopharmacological neuroprotection in neurodegenerative disease: assessing the preclinical data.","This manuscript reviews the preclinical in vitro  ex vivo  and nonhuman in vivo effects of psychopharmacological agents in clinical use on cell physiology with a view toward identifying agents with neuroprotective properties in neurodegenerative disease. These agents are routinely used in the symptomatic treatment of neurodegenerative disease. Each agent is reviewed in terms of its effects on pathogenic proteins  proteasomal function  mitochondrial viability  mitochondrial function and metabolism  mitochondrial permeability transition pore development  cellular viability  and apoptosis. Effects on the metabolism of the neurodegenerative disease pathogenic proteins alpha-synuclein  beta-amyloid  and tau  including tau phosphorylation  are particularly addressed  with application to Alzheimer's and Parkinson's diseases. Limitations of the current data are detailed and predictive criteria for translational clinical neuroprotection are proposed and discussed. Drugs that warrant further study for neuroprotection in neurodegenerative disease include pramipexole  thioridazine  risperidone  olanzapine  quetiapine  lithium  valproate  desipramine  maprotiline  fluoxetine  buspirone  clonazepam  diphenhydramine  and melatonin. Those with multiple neuroprotective mechanisms include pramipexole  thioridazine  olanzapine  quetiapine  lithium  valproate  desipramine  maprotiline  clonazepam  and melatonin. Those best viewed circumspectly in neurodegenerative disease until clinical disease course outcomes data become available  include several antipsychotics  lithium  oxcarbazepine  valproate  several tricyclic antidepressants  certain SSRIs  diazepam  and possibly diphenhydramine. A search for clinical studies of neuroprotection revealed only a single study demonstrating putatively positive results for ropinirole. An agenda for research on potentially neuroprotective agent is provided."
"19","19251245","Co-treatment with diazepam prevents the effects of fluoxetine on the proliferation and survival of hippocampal dentate granule cells.","BACKGROUND: Selective serotonin reuptake inhibitors (SSRI) often produce increased anxiety during the first weeks of treatment before the clinical antidepressant response  and these symptoms are commonly treated with benzodiazepines. Selective serotonin reuptake inhibitors increase proliferation of neuronal progenitors in rodent hippocampus after a delay of approximately 2 weeks.METHODS: We have used this delayed increase in neurogenesis  as detected with both a rapid dot-blot method and with immunostaining  as a model of the delayed clinical antidepressant effects.RESULTS: Whereas the SSRI fluoxetine alone significantly increased both neurogenesis and survival of newborn cells when administered for 2-3 weeks  co-treatment with diazepam and fluoxetine completely blocked the increase in both neurogenesis and survival. Furthermore  neurogenesis was not increased when fluoxetine and diazepam were first co-administered for 2 weeks and then fluoxetine was given alone for 2 additional weeks. Moreover  we show that daily administration is necessary for neurogenesis  because injection of fluoxetine for up to 1 week failed to increase neurogenesis  when assayed at 14 days from the first injection.CONCLUSIONS: These results suggest that benzodiazepines might interfere with the clinical effects of fluoxetine or that increased neurogenesis is not a valid model for the delayed onset of the clinical antidepressant effects."
"20","18548231","Subnanomolar dopamine D3 receptor antagonism coupled to moderate D2 affinity results in favourable antipsychotic-like activity in rodent models: II. behavioural characterisation of RG-15.","RG-15 (trans-N-[4-[2-[4-(3-cyano-5-trifluoromethyl -phenyl) -piperazine -1 -yl] -ethyl] -cyclohexyl] -3 -pyridinesulfonic amide dihydro-chloride)  is a highly selective dopamine D3/D2 receptor antagonist with subnanomolar affinity for the D3 receptor and nanomolar affinity for the D2 receptor. We found that RG-15 showed a good oral bioavailability (54%) and high brain levels (approx. 900 ng/g) in rats and demonstrated antipsychotic efficacy in amphetamine-induced hyperactivity and conditioned avoidance response tests in rats  yielding ED50 (median effective dose) values of 8.6 and 12 mg/kg orally  respectively. At six- to eightfold higher doses  RG-15 blocked spontaneous motor activity  while a 30 mg/kg dose of the compound caused an increase in the home-cage motility of rats. The drug did not produce catalepsy up to 160 mg/kg oral dose; moreover  it inhibited haloperidol-induced catalepsy in the range 15-60 mg/kg. RG-15 (10 mg/kg orally) restored the impaired learning performance of scopolamine- or diazepam-treated rats in a water-labyrinth paradigm. It is assumed that the motor activating  anticataleptic and cognitive-enhancing properties of RG-15 result from its potent D3 antagonism. In this regard  RG 15 clearly differs from other antipsychotics. Olanzapine  clozapine and amisulpride all showed efficacy against amphetamine-induced hyperactivity and on conditioned avoidance  but compared to RG-15  they proved to be more cataleptogenic and depressed or did not change the home-cage activity of animals. Olanzapine was also inactive in the learning paradigm. Our results suggest that subnanomolar dopamine D3 receptor antagonism coupled to moderate D2 affinity may result in an antipsychotic profile characterised by a lack of extrapyramidal side effects and secondary negative symptoms with simultaneous efficacy on positive and cognitive symptoms of schizophrenia."
